Code,Disease,ToMerge
0001U,Rbc Dna Hea 35 Ag 11 Bld Grp,
0002U,Onc Clrct 3 Ur Metab Alg Plp,
0003U,Onc Ovar 5 Prtn Ser Alg Scor,
0004U,Nfct Ds Dna 27 Resist Genes,
0005U,Onco Prst8 3 Gene Ur Alg,
0006U,Rx Mntr 120+ Drugs & Sbsts,
0007U,Rx Test Prsmv Ur W/Def Conf,
0008U,Hpylori Detcj Abx Rstnc Dna,
0009U,Onc Brst Ca Erbb2 Amp/Nonamp,
0010U,Nfct Ds Strn Typ Whl Gen Seq,
0011U,Rx Mntr Lc-Ms/Ms Oral Fluid,
0012U,Germln Do Gene Reargmt Detcj,
0013U,Onc Sld Org Neo Gene Reargmt,
0014U,Hem Hmtlmf Neo Gene Reargmt,
0015U,Rx Metab Advrs Rx Rxn Dna,
0016U,Onc Hmtlmf Neo Rna Bcr/Abl1,
0017U,Onc Hmtlmf Neo Jak2 Mut Dna,
0018U,Onc Thyr 10 Microrna Seq Alg,
0019U,Onc Rna Tiss Predict Alg,
0021U,Onc Prst8 Detcj 8 Autoantb,
0022U,Trgt Gen Seq Dna&Rna 23 Gene,
0023U,Onc Aml Dna Detcj/Nondetcj,
0024U,Glyca Nuc Mr Spectrsc Quan,
0025U,Tenofovir Liq Chrom Ur Quan,
0026U,Onc Thyr Dna&Mrna 112 Genes,
0027U,Jak2 Gene Trgt Seq Alys,
0029U,Rx Metab Advrs Trgt Seq Alys,
0030U,Rx Metab Warf Trgt Seq Alys,
0031U,Cyp1A2 Gene,
0032U,Comt Gene,
0033U,Htr2A Htr2C Genes,
0034U,Tpmt Nudt15 Genes,
0035U,Neuro Csf Prion Prtn Qual,
0036U,Xome Tum & Nml Spec Seq Alys,
0037U,Trgt Gen Seq Dna 324 Genes,
0038U,Vitamin D Srm Microsamp Quan,
0039U,Dna Antb 2Strand Hi Avidity,
0040U,Bcr/Abl1 Gene Major Bp Quan,
0041U,B Brgdrferi Antb 5 Prtn Igm,
0042U,B Brgdrferi Antb 12 Prtn Igg,
0043U,Tbrf B Grp Antb 4 Prtn Igm,
0044U,Tbrf B Grp Antb 4 Prtn Igg,
0045U,Onc Brst Dux Carc Is 12 Gene,
0046U,Flt3 Gene Itd Variants Quan,
0047U,Onc Prst8 Mrna 17 Gene Alg,
0048U,Onc Sld Org Neo Dna 468 Gene,
0049U,Npm1 Gene Analysis Quan,
0050U,Trgt Gen Seq Dna 194 Genes,
0051U,Rx Mntr Lc-Ms/Ms Ur 31 Pnl,
0052U,Lpoprtn Bld W/5 Maj Classes,
0053U,Onc Prst8 Ca Fish Alys 4 Gen,
0054U,Rx Mntr 14+ Drugs & Sbsts,
0055U,Card Hrt Trnspl 96 Dna Seq,
0056U,Hem Aml Dna Gene Reargmt,
0057U,Onc Sld Org Neo Mrna 51 Gene,
0058U,Onc Merkel Cll Carc Srm Quan,
0059U,Onc Merkel Cll Carc Srm +/-,
0060U,Twn Zyg Gen Seq Alys Chrms2,
0061U,Tc Meas 5 Bmrk Sfdi M-S Alys,
0062U,Ai Sle Igg & Igm Alys 80 Bmr,k
0063U,Neuro Autism 32 Amines Plsm,Al
0064U,Antibody Treponema Pallidum,To
0066U,Pamg-1 Ia W/Dir Opt Obs Cerv,ic
